LAST;2
NIGHT'S;2
ITCHY;1
SCRATCHY;1
WAS;7
WITHOUT;3
A;19
DOUBT;2
THE;28
WORST;2
EPISODE;2
EVER;2
REST;2
ASSURED;2
THAT;6
I;32
ON;3
INTERNET;2
WITHIN;2
MINUTES;2
REGISTERING;2
MY;15
DISGUST;2
THROUGHOUT;2
WORLD;2
OH;4
YEAH;1
AH;3
BE;6
CREATIVE;3
INSTEAD;6
OF;11
MAKING;4
SANDWHICHES;3
WITH;11
BREAD;3
USE;4
POPTARTS;3
CHEWING;3
GUM;3
CHEW;3
BACON;3
LIVE;3
IN;5
SINGLE;3
ROOM;3
ABOVE;3
BOWLING;6
ALLEYAND;3
BELOW;3
ANOTHER;3
ALLEY;3
CAN'T;4
WE;4
HAVE;10
ONE;4
MEETING;4
DOESN'T;4
END;4
US;5
DIGGING;4
UP;4
CORPSE;4
I'M;7
SLEEPING;3
BATH;2
TUB;2
REMEMBER;3
TIME;3
HE;3
ATE;3
GOLDFISH;6
AND;14
YOU;13
LIED;3
SAID;3
NEVER;3
HAD;3
THEN;5
WHY;8
DID;6
BOWL;6
BART;3
FOR;3
ONCE;1
MAYBE;2
SOMEONE;1
WILL;3
CALL;1
ME;7
SIR;1
ADDING;1
YOU'RE;1
SCENE;1
EAT;2
SHORTS;2
FAIL;3
ENGLISH;3
THAT'S;3
UNPOSSIBLE;3
WOW;3
WINDOWS;3
DON'T;7
THINK;4
COULD;3
AFFORD;3
THIS;7
PLACE;3
USED;2
TO;10
IT;10
BUT;3
THEY;4
CHANGED;2
WHAT;4
NOW;2
ISN'T;2
WHAT'S;2
SEEMS;2
SCARY;2
WIERD;2
IT'LL;2
HAPPEN;2
AHH;2
SWEET;2
LIQUOR;2
EASES;2
PAIN;2
IS;4
SNACK;2
HOLDER;2
WHERE;2
CAN;3
PUT;2
BEVERAGE;2
OR;2
IF;2
CUPCAKE;2
TASTE;3
LIKEBURNING;2
WANT;1
SOUND;1
LIKE;2
KILLJOY;1
BECUASE;2
NOT;1
ANYONE;1
ELSE;1
SHOULD;1
ALLOWED;1
ENJOY;1
HELLO;1
SIMPSON;1
RIDING;1
BUS;1
TODAY;1
MOTHER;1
HID;1
CAR;1
KEYS;1
PUNISH;1
TALKING;1
WOMAN;1
PHONE;1
SHE;1
RIGHT;1
DO;1
WHEN;1
LOOK;1
AT;1
PEOPLE;1
SEE;2
COLORS;1
JUST;1
CRACKPOT;1
RELIGIONS;1
ARE;2
PLEOPLE;2
AVOIDING;2
DOES;2
WITHERED;2
FACE;2
REMIND;2
GRIM;2
SPECTER;2
DEATH;2
'ITCHY;1
SCRATCHY';1
DOUGHNUTS;1
TOLD;1
ETHNIC;1
FOOD;1
ALL;1
GONNA;1
BED;1
EATING;1
BUILDING;1
LITTLE;1
FORT;1
BY;1
CHILLING;1
LOINS;1
INCREASE;1
CHANCES;1
IMPREGNATING;1
WIFE;1
HEY;1
CHIEF;1
HERE;1
BAKE;1
HIM;1
AWAY;1
TOYS;1
NOTHING;1
SAY;1
UPSET;1
WE'RE;1
MTV;1
GENERATION;1
